Date,Open,High,Low,Close,Volume
2020-02-27,45.266666412353516,49.31800079345703,44.599998474121094,0.05252964759284453,364158000
2020-02-28,44.53266525268555,46.03466796875,40.768001556396484,0.037700701261529336,363343500
2020-03-02,49.574668884277344,49.5793342590332,45.77799987792969,0.049759009212825646,302925000
2020-03-03,49.70066833496094,53.798667907714844,47.740665435791016,0.06361808914035316,386760000
2020-03-04,49.96666717529297,51.10133361816406,48.31533432006836,0.05755049379019949,225735000
2020-03-05,48.30266571044922,49.71666717529297,47.871334075927734,0.05160856045080837,162790500
2020-03-06,46.89866638183594,47.133331298828125,45.61800003051758,0.04661580928090341,189943500
2020-03-09,40.53333282470703,44.20000076293945,40.33333206176758,0.034106568102215414,256105500
2020-03-10,43.02199935913086,44.53333282470703,40.53333282470703,0.042096164499168996,233916000
2020-03-11,42.28200149536133,43.571998596191406,40.866668701171875,0.03925308477014245,199837500
2020-03-12,37.369998931884766,39.633331298828125,36.41666793823242,0.030484348375261018,283636500
2020-03-13,36.44133377075195,40.50466537475586,33.46666717529297,0.032570452807329,339604500
2020-03-16,29.67133331298828,32.9913330078125,29.47800064086914,0.014015789439266145,307342500
2020-03-17,28.68000030517578,31.456666946411133,26.399999618530273,0.009655815102605943,359919000
2020-03-18,24.08133316040039,26.99066734313965,23.367332458496094,0.0021141952296132305,356793000
2020-03-19,28.50933265686035,30.133333206176758,23.8973331451416,0.0,452932500
2020-03-20,28.50200080871582,31.799999237060547,28.38599967956543,0.009388214407544608,424282500
2020-03-23,28.952667236328125,29.46666717529297,27.366666793823242,0.008708126089501854,246817500
2020-03-24,33.66666793823242,34.24599838256836,31.600000381469727,0.015168988375384183,343428000
2020-03-25,35.95000076293945,37.133331298828125,34.07400131225586,0.025215113710287958,318340500
2020-03-26,35.21066665649414,37.33333206176758,34.150001525878906,0.025531510586719854,260710500
2020-03-27,34.29066848754883,35.0533332824707,32.935333251953125,0.01926432295031865,215661000
2020-03-30,33.47533416748047,34.44333267211914,32.7486686706543,0.020041990941388234,179971500
2020-03-31,34.93333435058594,36.19733428955078,33.133331298828125,0.018709900872943212,266572500
2020-04-01,32.104000091552734,34.26333236694336,31.67333221435547,0.019116470859158206,200298000
2020-04-02,30.29800033569336,32.95066833496094,29.760000228881836,0.015720457979233556,297876000
2020-04-03,32.000667572021484,34.36600112915039,31.22599983215332,0.01992962775120726,338431500
2020-04-06,34.41600036621094,34.733333587646484,33.19733428955078,0.020180968692351427,223527000
2020-04-07,36.36333465576172,37.66666793823242,35.48933410644531,0.025178152802450234,268797000
2020-04-08,36.589332580566406,37.14733123779297,35.55533218383789,0.02653833789834526,189840000
2020-04-09,38.20000076293945,38.345333099365234,37.14066696166992,0.027704844114854403,204750000
2020-04-13,43.39666748046875,43.46666717529297,38.70199966430664,0.03185487981821155,337131000
2020-04-14,47.32600021362305,49.45866775512695,46.1619987487793,0.04794198594248678,458647500
2020-04-15,48.65533447265625,50.20866775512695,47.33333206176758,0.054303796548484,353655000
2020-04-16,49.680667877197266,50.630001068115234,47.11466598510742,0.05059878066565691,309868500
2020-04-17,50.259334564208984,51.663333892822266,49.84400177001953,0.05878056701551904,196923000
2020-04-20,49.75733184814453,51.03799819946289,47.48066711425781,0.052928832165339605,221199000
2020-04-21,45.781333923339844,50.22200012207031,44.919334411621094,0.0525473878134295,303136500
2020-04-22,48.807334899902344,48.93333435058594,45.91400146484375,0.04868269302571864,212482500
2020-04-23,47.04199981689453,48.93333435058594,46.87533187866211,0.05217481780171663,198550500
2020-04-24,48.34333419799805,48.71533203125,46.54533386230469,0.049692481270679635,198180000
2020-04-27,53.25,53.29933166503906,49.0,0.05365475150151256,310221000
2020-04-28,51.27466583251953,53.66666793823242,50.44599914550781,0.06223425041701151,228330000
2020-04-29,53.367332458496094,53.54666519165039,52.21066665649414,0.06142553492496585,243240000
2020-04-30,52.12533187866211,57.987998962402344,50.900001525878906,0.07103847571287239,427078500
